Postal code;Lat;Long
7512;50.637.541.773.166.400;33.845.370.472.413.000
7620;505.449.124.056.137;33.992.738.246.942.300
6142;5.038.772.819.346.950;4.321.438.240.901.540
7862;507.210.042.912.353;37.749.973.625.661.900
7300;50.428.770.523.273.000;3.788.860.299.004.140
8370;5.129.837.935.392.510;314.160.121.764.503
8430;5.117.815.500.112.930;28.368.380.598.056.200
8680;5.109.021.185.685.530;29.722.168.338.691.400
8740;5.099.261.140.625.520;3.270.450.267.559.880
8900;5.081.848.404.852.770;2.820.689.990.115.550
6662;50.104.656.740.274.500;5.844.017.287.644.830
6672;50.203.028.455.680.700;5.995.047.199.568.520
6860;4.980.698.722.514.830;56.099.619.087.915.400
6970;5.008.393.238.628.600;54.602.215.163.455.100
1831;50.892.944.354.955.400;4.445.229.932.624.740
3320;5.078.225.179.814.630;4.877.610.300.119.020
5500;50.228.545.842.808.900;490.622.118.525.634
5022;5.051.703.286.547.310;49.080.968.903.714.900
5541;502.078.836.754.068;4.832.756.422.482.890
5542;5.019.203.680.336.440;48.407.337.935.185.600
5520;5.024.596.761.096.660;4.850.650.076.002.720
3550;5.100.902.295.258.930;5.294.774.004.254.100
3793;50.752.388.289.041.700;5.872.385.566.958.150
3803;5.083.301.023.422.720;5.147.664.225.873.100
3830;5.084.595.525.055.630;5.336.452.655.385.170
3831;50.827.012.457.782.100;5.332.926.888.163.770
9500;50.820.983.674.896.200;38.868.636.876.065.700
4607;50.728.569.832.193;5.741.479.660.950.060
4730;50.707.875.064.250.600;606.781.126.323.219
4050;5.058.522.465.817.120;56.444.051.822.288.700
4601;5.070.207.095.830.980;5.688.323.937.396.010
4784;50.285.770.240.148.700;60.682.953.719.167.700
4920;5.046.110.254.469.120;5.670.030.537.118.230
4042;5.069.186.805.608.340;5.571.167.772.120.220
7320;50.480.332.045.342.700;3.647.114.170.315.040
7830;506.479.669.266.252;39.393.945.696.011.500
7641;5.055.998.570.298.440;34.260.710.273.518.800
1040;5.087.298.266.192.050;4.375.234.148.039.780
1342;5.068.379.979.985.520;45.584.085.198.370.400
1472;5.062.507.941.120.230;4.412.997.016.590.900
2200;51.183.255.497.155.200;4.831.562.156.337.340
2900;5.126.417.701.511.700;4.508.194.509.964.700
2240;5.122.069.321.522.650;4.665.552.049.419.400
2940;51.337.978.875.586.800;436.993.960.452.919
9570;50.820.759.323.517.800;3.837.351.919.604.350
9830;51.015.740.803.574.000;36.294.698.250.650.800
9300;50.941.780.843.882.900;4.047.007.532.896.990
9340;50.957.953.814.619.200;3.942.331.671.334.090
9600;50.749.709.459.509.700;36.075.931.433.164.600
9981;51.270.401.617.861.900;35.397.930.596.762
9850;51.044.421.243.003.500;3.535.967.009.652.090
9500;5.075.631.465.402.030;38.691.914.611.452.800
9170;5.122.764.907.167.510;4.119.502.014.366.560
4624;5.060.428.331.237.350;5.665.233.901.405.930
4577;50.477.535.782.778.100;52.879.021.079.343.000
4260;5.061.047.819.822.580;5.115.731.505.060.560
4821;5.061.429.464.831.290;5.884.105.409.196.770
4500;5.049.945.695.953.770;5.181.064.535.082.790
4782;5.028.086.655.228.510;6.255.547.264.540.820
4671;5.065.534.079.444.830;5.674.857.738.316.830
4000;5.064.100.863.770.030;5.576.746.544.206.010
4260;5.060.532.373.506.870;5.175.956.196.264.240
4672;5.069.333.591.033.590;5.707.331.819.981.650
4451;5.068.931.739.251.800;5.548.125.535.686.040
4621;5.062.899.679.344.330;5.698.379.831.248.310
7823;50.635.129.295.259.100;388.836.464.420.893
7191;5.056.896.913.004.570;41.634.062.777.021.800
6462;5.006.370.274.451.570;4.364.589.916.088.010
7623;5.050.608.146.948.220;338.554.306.737.723
6075;5.047.084.791.169.860;45.358.954.856.785.600
6020;5.041.727.752.258.540;4.426.930.454.280.800
7601;5.052.937.405.342.300;3.586.478.486.826.300
7061;50.519.242.244.798.200;404.800.871.255.348
1020;5.087.298.266.192.050;4.375.234.148.039.780
1090;50.881.720.021.988.200;4.321.383.766.329.780
1301;507.168.861.193.855;4.581.594.841.842.490
1330;507.122.118.597.938;4.528.024.961.130.180
2610;5.116.429.714.238.410;4.387.893.089.723.030
8301;5.131.166.474.283.850;32.588.654.806.261.400
8310;5.121.677.335.757.060;32.724.169.340.982.700
8421;5.126.258.540.478.530;3.062.663.199.459.580
8647;5.097.051.264.978.580;2.736.133.320.548.190
8660;510.704.142.079.429;25.945.876.048.058.900
8800;5.094.625.796.358.600;31.177.834.512.642.900
8820;51.062.335.838.080.800;3.095.483.897.636.920
8957;50.759.777.966.611.000;28.975.460.982.504.200
6686;5.006.338.776.348.130;5.606.593.809.442.780
6698;5.032.371.252.905.660;5.907.434.542.453.930
6742;4.964.881.693.322.210;5.660.868.788.927.630
6836;49.792.793.746.138.700;51.354.266.792.414.400
6850;4.989.790.501.802.280;5.128.141.991.092.270
6921;5.006.655.938.330.610;515.517.535.823.723
1931;50.892.944.354.955.400;4.445.229.932.624.740
3130;5.099.502.244.496.060;4.785.669.137.790.250
3012;5.092.127.141.131.540;4.707.202.587.569.180
3271;5.099.895.330.058.120;4.981.617.466.438.010
3724;5.083.027.442.474.480;5.422.309.843.662.540
3746;5.086.640.062.480.260;55.493.058.423.195.300
5024;5.049.074.420.495.640;4.962.847.303.886.850
5170;5.038.843.943.711.710;48.264.040.094.071.200
5590;5.025.624.897.081.880;5.122.824.767.561.590
5333;5.038.965.322.349.170;5.024.831.035.542.030
3650;5.103.297.006.986.550;570.023.659.884.594
3665;5.100.403.806.391.600;5.570.947.431.025.020
3720;5.086.601.338.435.880;53.782.910.830.164.700
3970;5.112.093.887.157.150;5.265.840.257.968.890
8770;50.921.458.230.622.500;3.260.684.729.457.540
6640;49.911.239.171.143;56.089.347.598.933.300
