Post code,Latitude,Longitude
3798,50.76051302,5.772433338
8460,51.19721509,2.998147049
8582,50.75878665,3.426397561
8640,50.92894645,2.745174469
8690,51.01476098,2.721210624
8791,50.87235753,3.345056111
8880,50.87492646,3.151377215
6600,49.99402421,5.778188594
6688,50.04263833,5.67035188
6692,50.28124403,5.988170181
6980,50.15622909,5.522423987
1860,50.94374093,4.325099324
1650,50.76625121,4.312619252
1742,50.87573299,4.135967632
5523,50.27959083,4.857621565
3800,50.79887811,5.22749808
3941,51.15673181,5.350842697
8554,50.76269678,3.351877871
8904,50.89559226,2.865255587
8954,50.79934939,2.743792001
8956,50.79001022,2.835750527
8970,50.8535932,2.719333802
6900,50.21249107,5.366232551
3200,50.98527055,4.834310229
1674,50.7377114,4.158722358
3054,50.82209968,4.688803552
3010,50.88954206,4.736791898
3053,50.81690503,4.705482591
1105,50.87298266,4.375234148
1050,50.8223256,4.37706586
2320,51.39934847,4.742741597
2321,51.45232128,4.727615311
2531,51.17599513,4.536292285
9200,51.03696479,4.084093701
9991,51.18218512,3.502766008
9180,51.18224612,3.945063101
9980,51.2327211,3.537156676
9881,51.09168562,3.497725718
9571,50.80897937,3.862983504
4163,50.4960456,5.473824802
4990,50.29409301,5.794561306
4450,50.7088686,5.547836209
4970,50.39359723,5.950319172
4053,50.59057394,5.607087044
4681,50.71604707,5.675361166
7512,50.63754177,3.384537047
7620,50.54491241,3.399273825
6142,50.38772819,4.321438241
7862,50.72100429,3.774997363
7300,50.42877052,3.788860299
8370,51.29837935,3.141601218
8430,51.178155,2.83683806
8680,51.09021186,2.972216834
8740,50.99261141,3.270450268
8900,50.81848405,2.82068999
6662,50.10465674,5.844017288
6672,50.20302846,5.9950472
6860,49.80698723,5.609961909
6970,50.08393239,5.460221516
1831,50.89294435,4.445229933
3320,50.7822518,4.8776103
5500,50.22854584,4.906221185
5022,50.51703287,4.90809689
5541,50.20788368,4.832756422
5542,50.1920368,4.840733794
5520,50.24596761,4.850650076
3550,51.00902295,5.294774004
3793,50.75238829,5.872385567
3803,50.83301023,5.147664226
3830,50.84595525,5.336452655
3831,50.82701246,5.332926888
9500,50.82098367,3.886863688
4607,50.72856983,5.741479661
4730,50.70787506,6.067811263
4050,50.58522466,5.644405182
4601,50.70207096,5.688323937
4784,50.28577024,6.068295372
4920,50.46110254,5.670030537
4042,50.69186806,5.571167772
7320,50.48033205,3.64711417
7830,50.64796693,3.93939457
7641,50.5599857,3.426071027
1040,50.87298266,4.375234148
1342,50.6837998,4.55840852
1472,50.62507941,4.412997017
2200,51.1832555,4.831562156
2900,51.26417702,4.50819451
2240,51.22069322,4.665552049
2940,51.33797888,4.369939605
9570,50.82075932,3.83735192
9830,51.0157408,3.629469825
9300,50.94178084,4.047007533
9340,50.95795381,3.942331671
9600,50.74970946,3.607593143
9981,51.27040162,3.53979306
9850,51.04442124,3.53596701
9500,50.75631465,3.869191461
9170,51.22764907,4.119502014
4624,50.60428331,5.665233901
4577,50.47753578,5.287902108
4260,50.6104782,5.115731505
4821,50.61429465,5.884105409
4500,50.49945696,5.181064535
4782,50.28086655,6.255547265
4671,50.65534079,5.674857738
4000,50.64100864,5.576746544
4260,50.60532374,5.175956196
4672,50.69333591,5.70733182
4451,50.68931739,5.548125536
4621,50.62899679,5.698379831
7823,50.6351293,3.888364644
7191,50.56896913,4.163406278
6462,50.06370274,4.364589916
7623,50.50608147,3.385543067
6075,50.47084791,4.535895486
6020,50.41727752,4.426930454
7601,50.52937405,3.586478487
7061,50.51924224,4.048008713
1020,50.87298266,4.375234148
1090,50.88172002,4.321383766
1301,50.71688612,4.581594842
1330,50.71221186,4.528024961
2610,51.16429714,4.38789309
8301,51.31166474,3.258865481
8310,51.21677336,3.272416934
8421,51.2625854,3.062663199
8647,50.97051265,2.736133321
8660,51.07041421,2.594587605
8800,50.94625796,3.117783451
8820,51.06233584,3.095483898
8957,50.75977797,2.897546098
6686,50.06338776,5.606593809
6698,50.32371253,5.907434542
6742,49.64881693,5.660868789
6836,49.79279375,5.135426679
6850,49.89790502,5.128141991
6921,50.06655938,5.155175358
1931,50.89294435,4.445229933
3130,50.99502244,4.785669138
3012,50.92127141,4.707202588
3271,50.9989533,4.981617466
3724,50.83027442,5.422309844
3746,50.86640062,5.549305842
5024,50.4907442,4.962847304
5170,50.38843944,4.826404009
5590,50.25624897,5.122824768
5333,50.38965322,5.024831036
3650,51.03297007,5.700236599
3665,51.00403806,5.570947431
3720,50.86601338,5.378291083
3970,51.12093887,5.265840258
8770,50.92145823,3.260684729
6640,49.91123917,5.60893476
6660,50.15535992,5.681868604
6687,50.08988048,5.678127382
6717,49.75420777,5.776093148
6761,49.55987469,5.566885791
6950,50.11758747,5.367278075
6990,50.26816718,5.451885056
3381,50.88776059,4.958995562
3052,50.82559015,4.710276095
1673,50.7337903,4.181339452
1570,50.74105581,3.990298075
3140,51.00520268,4.654303956
9032,51.11528737,3.738386889
9630,50.87804897,3.734605343
9130,51.29334612,4.203171493
4540,50.55255963,5.311435799
4367,50.71683139,5.402696581
4834,50.59872336,5.957013127
4602,50.68354687,5.67580876
4020,50.6399591,5.638561209
4300,50.69000743,5.253818433
4608,50.71450607,5.777538738
7712,50.72185296,3.24063514
6032,50.38258492,4.409596475
1081,50.86301498,4.324083269
1050,50.82947631,4.344697582
2330,51.37043374,4.870213714
2500,51.13160181,4.561792201
8650,50.98454558,2.903097457
8750,51.06781206,3.288679237
4120,50.53217304,5.482227353
5576,50.0504528,5.001612602
5352,50.46027786,5.175428601
5570,50.08384331,5.040325266
5644,50.2889451,4.723851663
5522,50.28468555,4.79711907
3510,50.95107162,5.25139546
3512,50.9174058,5.247989672
8434,51.15486681,2.776161035
